SITE,SPECIES,DURATION,MESH,MAP,AET,PET,MAT,N,C,Lig,Cel,WSE,mean.afw,sd.afw
AND,ACSA,0,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,9.09275,0.0371696560830651
ARC,ACSA,0,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,9.144,0.00182574185835084
BCI,ACSA,0,1,2692.38,1367.63,1517.06,27.16933333,0.8075,49.7675,15.87,27.328,47.678,8.93975,0.0144539498638493
BNZ,ACSA,0,1,402.87,359.8,575.89,-1.760208333,0.8075,49.7675,15.87,27.328,47.678,9.1005,0.0568066897468955
BSF,ACSA,0,1,1244.55,752.61,1096.91,11.29540417,0.8075,49.7675,15.87,27.328,47.678,8.938,0.0227303028283097
CDR,ACSA,0,1,822.7777778,733.2,1026.133333,7.056204167,0.8075,49.7675,15.87,27.328,47.678,9.1675,0.0108781125813874
CPR,ACSA,0,1,440.4,430.42,1201.73,8.598458333,0.8075,49.7675,15.87,27.328,47.678,9.09025,0.0350178525897867
CWT,ACSA,0,1,1905.66,1173.16,1352.79,13.34375,0.8075,49.7675,15.87,27.328,47.678,9.05,0.0505173237612607
GSF,ACSA,0,1,508.41,502.5,1421.8,26.38333333,0.8075,49.7675,15.87,27.328,47.678,8.926,0.00489897948556654
HBR,ACSA,0,1,1396.13,712.53,817.54,5.548666667,0.8075,49.7675,15.87,27.328,47.678,9.062,0.0262678510731275
HFR,ACSA,0,1,1152.13,851.25,1041.04,7.489633333,0.8075,49.7675,15.87,27.328,47.678,9.0785,0.0216717942650499
JRN,ACSA,0,1,298.1111111,292.2666667,1665.977778,17.14754167,0.8075,49.7675,15.87,27.328,47.678,9.07525,0.0516809120146567
JUN,ACSA,0,1,2877.81,494.81,543.94,4.277983333,0.8075,49.7675,15.87,27.328,47.678,8.68575,0.0177270979012355
KBS,ACSA,0,1,811.15,707.59,1007.43,8.838666667,0.8075,49.7675,15.87,27.328,47.678,9.0735,0.0455302097513286
KNZ,ACSA,0,1,791.21,746.72,1250.01,12.57004167,0.8075,49.7675,15.87,27.328,47.678,9.1285,0.0631954639722397
LBS,ACSA,0,1,4099.52,1699.15,1772.69,26.18779167,0.8075,49.7675,15.87,27.328,47.678,9.1345,0.00341565025531936
LUQ,ACSA,0,1,3362.82,1233.94,1259.58,23.47708333,0.8075,49.7675,15.87,27.328,47.678,9.053,0.00770281333886132
LVW,ACSA,0,1,1096.46,850.81,1083.15,1.707875,0.8075,49.7675,15.87,27.328,47.678,8.7065,0.0433474336033867
MTV,ACSA,0,1,2685,1084.06,1165.5,17.67916667,0.8075,49.7675,15.87,27.328,47.678,8.939,0.0203306009093026
NIN,ACSA,0,1,1491.22,1206.53,1456.16,18.203875,0.8075,49.7675,15.87,27.328,47.678,9.13925,0.000957427107756735
NLK,ACSA,0,1,676.63,649.13,884.36,4.137,0.8075,49.7675,15.87,27.328,47.678,9.138,0.00141421356237315
NWT,ACSA,0,1,1249.7,646.57,755.51,-3.2115,0.8075,49.7675,15.87,27.328,47.678,9.13175,0.00330403793359966
OLY,ACSA,0,1,1530.9,794.19,1043.78,10.7329625,0.8075,49.7675,15.87,27.328,47.678,9.14775,0.0049916597106237
SEV,ACSA,0,1,254.5,252.22,1601.93,13.17375,0.8075,49.7675,15.87,27.328,47.678,9.07875,0.0299596951475368
SMR,ACSA,0,1,240.31,236.14,1860.46,14.64165417,0.8075,49.7675,15.87,27.328,47.678,9.16,0.0466547603859102
UFL,ACSA,0,1,1238.47,1165.79,1620.79,20.721375,0.8075,49.7675,15.87,27.328,47.678,9.06025,0.0307720110923329
VCR,ACSA,0,1,1138.09,993.17,1215.28,15.028375,0.8075,49.7675,15.87,27.328,47.678,9.08325,0.100745140494881
CWT,ANGE,0,1,1905.66,1173.16,1352.79,13.34375,0.6175,44.55,18.68166667,59.37333333,14.74166667,8.771,0.00282842712474588
NWT,ANGE,0,1,1249.7,646.57,755.51,-3.2115,0.6175,44.55,18.68166667,59.37333333,14.74166667,8.778,0.0543261753976232
GSF,BELU,0,1,508.41,502.5,1421.8,26.38333333,1.6,49.88,26.624,45.782,18.524,8.477,0.028879058156387
LUQ,BELU,0,1,3362.82,1233.94,1259.58,23.47708333,1.6,49.88,26.624,45.782,18.524,9.0535,0.0275983091269496
CPR,BOER,0,1,440.4,430.42,1201.73,8.598458333,0.8625,44.8975,15.534,64.334,13.19,8.80566666666667,0.026159765544311
BCI,BOGR,0,1,2692.38,1367.63,1517.06,27.16933333,0.96,42.9575,7.962,68.584,13.84,8.775,0.287519274716206
HFR,BOGR,0,1,1152.13,851.25,1041.04,7.489633333,0.96,42.9575,7.962,68.584,13.84,6.01925,0.00368555739791612
OLY,CEGR,0,1,1530.9,794.19,1043.78,10.7329625,1.3275,52.5825,12.374,26.866,49.114,9.00925,0.0220661883130431
AND,DRGL,0,1,2309.5,763.6333333,982.3666667,9.1659375,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.9395,0.0335211376099721
ARC,DRGL,0,1,326.66,284.43,422.74,-8.872666667,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.9185,0.0269876514971816
BCI,DRGL,0,1,2692.38,1367.63,1517.06,27.16933333,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.7615,0.00858292879305572
BNZ,DRGL,0,1,402.87,359.8,575.89,-1.760208333,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.8105,0.0212053452380921
BSF,DRGL,0,1,1244.55,752.61,1096.91,11.29540417,1.973333333,47.79333333,10.90875,39.8175,40.23125,4.3775,0.0317752524249087
CDR,DRGL,0,1,822.7777778,733.2,1026.133333,7.056204167,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.78775,0.0385346164722924
CPR,DRGL,0,1,440.4,430.42,1201.73,8.598458333,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.87725,0.0345096604832134
CWT,DRGL,0,1,1905.66,1173.16,1352.79,13.34375,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.8665,0.0492510575182569
GSF,DRGL,0,1,508.41,502.5,1421.8,26.38333333,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.76225,0.00865544144839908
HBR,DRGL,0,1,1396.13,712.53,817.54,5.548666667,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.89425,0.0310308985797489
HFR,DRGL,0,1,1152.13,851.25,1041.04,7.489633333,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.9085,0.0196723155729059
JRN,DRGL,0,1,298.1111111,292.2666667,1665.977778,17.14754167,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.927,0.0320936130717629
JUN,DRGL,0,1,2877.81,494.81,543.94,4.277983333,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.6255,0.0132035348802261
KBS,DRGL,0,1,811.15,707.59,1007.43,8.838666667,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.871,0.0275680975041805
KNZ,DRGL,0,1,791.21,746.72,1250.01,12.57004167,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.78875,0.0140801278403285
LBS,DRGL,0,1,4099.52,1699.15,1772.69,26.18779167,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.9455,0.0370630094119011
LUQ,DRGL,0,1,3362.82,1233.94,1259.58,23.47708333,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.964,0.020800641015764
LVW,DRGL,0,1,1096.46,850.81,1083.15,1.707875,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.616,0.0174547032821146
MTV,DRGL,0,1,2685,1084.06,1165.5,17.67916667,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.78125,0.00987842767515829
NIN,DRGL,0,1,1491.22,1206.53,1456.16,18.203875,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.93275,0.0441691823182935
NLK,DRGL,0,1,676.63,649.13,884.36,4.137,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.92075,0.00478713553878204
NWT,DRGL,0,1,1249.7,646.57,755.51,-3.2115,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.783,0.0180554700852681
OLY,DRGL,0,1,1530.9,794.19,1043.78,10.7329625,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.77725,0.0264244205234469
SEV,DRGL,0,1,254.5,252.22,1601.93,13.17375,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.87425,0.0329684192321479
SMR,DRGL,0,1,240.31,236.14,1860.46,14.64165417,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.79525,0.0178955301681731
UFL,DRGL,0,1,1238.47,1165.79,1620.79,20.721375,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.95775,0.0123389626792535
VCR,DRGL,0,1,1138.09,993.17,1215.28,15.028375,1.973333333,47.79333333,10.90875,39.8175,40.23125,8.7825,0.0162992842378631
CDR,FAGR,0,1,822.7777778,733.2,1026.133333,7.056204167,0.85,49.4075,26.028,49.114,16.25,8.98075,0.0306090945090945
JRN,KOMY,0,1,298.1111111,292.2666667,1665.977778,17.14754167,1.0675,46.2575,9.254,61.56,22.73,9.015,0.0253245598842971
ARC,LATR,0,1,326.66,284.43,422.74,-8.872666667,2.1375,50.85,7.95,40.464,31.536,8.72525,0.00797391580927048
CWT,LATR,0,1,1905.66,1173.16,1352.79,13.34375,2.1375,50.85,7.95,40.464,31.536,8.721,NA
KNZ,LITU,0,1,791.21,746.72,1250.01,12.57004167,0.72,46.355,8.7,31.272,43.622,8.53875,0.041330981115865
BCI,PIEL,0,1,2692.38,1367.63,1517.06,27.16933333,0.36,54.26,21.418,41.338,19.604,9.0265,0.0169213868619961
BSF,PIEL,0,1,1244.55,752.61,1096.91,11.29540417,0.36,54.26,21.418,41.338,19.604,9.021,0.00216024689946891
GSF,PIEL,0,1,508.41,502.5,1421.8,26.38333333,0.36,54.26,21.418,41.338,19.604,9.02566666666667,0.0208166599946609
JUN,PIEL,0,1,2877.81,494.81,543.94,4.277983333,0.36,54.26,21.418,41.338,19.604,8.9985,0.0162172747402268
LVW,PIEL,0,1,1096.46,850.81,1083.15,1.707875,0.36,54.26,21.418,41.338,19.604,9.20375,0.129396998934802
MTV,PIEL,0,1,2685,1084.06,1165.5,17.67916667,0.36,54.26,21.418,41.338,19.604,9.04325,0.0159452187191018
UFL,PIEL,0,1,1238.47,1165.79,1620.79,20.721375,0.36,54.26,21.418,41.338,19.604,9.29825,0.0608899280122199
AND,PIRE,0,1,2309.5,763.6333333,982.3666667,9.1659375,0.5875,53.41,19.176,44.58,20.604,9.61075,0.06912970900175
ARC,PIRE,0,1,326.66,284.43,422.74,-8.872666667,0.5875,53.41,19.176,44.58,20.604,9.464,0.0300998338865852
BNZ,PIRE,0,1,402.87,359.8,575.89,-1.760208333,0.5875,53.41,19.176,44.58,20.604,9.5065,0.0153297097167556
CDR,PIRE,0,1,822.7777778,733.2,1026.133333,7.056204167,0.5875,53.41,19.176,44.58,20.604,9.506,0.0490509938737229
CPR,PIRE,0,1,440.4,430.42,1201.73,8.598458333,0.5875,53.41,19.176,44.58,20.604,9.55175,0.040729800719703
CWT,PIRE,0,1,1905.66,1173.16,1352.79,13.34375,0.5875,53.41,19.176,44.58,20.604,9.5455,0.0411055551801293
HBR,PIRE,0,1,1396.13,712.53,817.54,5.548666667,0.5875,53.41,19.176,44.58,20.604,9.54125,0.0116726175299289
HFR,PIRE,0,1,1152.13,851.25,1041.04,7.489633333,0.5875,53.41,19.176,44.58,20.604,9.57225,0.0258247297501184
JRN,PIRE,0,1,298.1111111,292.2666667,1665.977778,17.14754167,0.5875,53.41,19.176,44.58,20.604,9.59425,0.0292275554913509
KBS,PIRE,0,1,811.15,707.59,1007.43,8.838666667,0.5875,53.41,19.176,44.58,20.604,9.5615,0.049601747281052
KNZ,PIRE,0,1,791.21,746.72,1250.01,12.57004167,0.5875,53.41,19.176,44.58,20.604,9.6115,0.0202895703913777
LBS,PIRE,0,1,4099.52,1699.15,1772.69,26.18779167,0.5875,53.41,19.176,44.58,20.604,9.47575,0.053181293703707
LUQ,PIRE,0,1,3362.82,1233.94,1259.58,23.47708333,0.5875,53.41,19.176,44.58,20.604,9.63525,0.0524999999999998
NIN,PIRE,0,1,1491.22,1206.53,1456.16,18.203875,0.5875,53.41,19.176,44.58,20.604,9.45325,0.0292275554913511
NLK,PIRE,0,1,676.63,649.13,884.36,4.137,0.5875,53.41,19.176,44.58,20.604,9.502,0.0116332855777432
NWT,PIRE,0,1,1249.7,646.57,755.51,-3.2115,0.5875,53.41,19.176,44.58,20.604,9.50825,0.020418537329267
OLY,PIRE,0,1,1530.9,794.19,1043.78,10.7329625,0.5875,53.41,19.176,44.58,20.604,9.48075,0.0150858653491718
SEV,PIRE,0,1,254.5,252.22,1601.93,13.17375,0.5875,53.41,19.176,44.58,20.604,9.59075,0.0375444181381644
SMR,PIRE,0,1,240.31,236.14,1860.46,14.64165417,0.5875,53.41,19.176,44.58,20.604,9.48666666666667,0.0363639015141848
UFL,PIRE,0,1,1238.47,1165.79,1620.79,20.721375,0.5875,53.41,19.176,44.58,20.604,9.59925,0.0592642387954154
VCR,PIRE,0,1,1138.09,993.17,1215.28,15.028375,0.5875,53.41,19.176,44.58,20.604,9.522,0.0381138644939962
AND,PIST,0,1,2309.5,763.6333333,982.3666667,9.1659375,0.6225,52.835,20.592,39.682,20.174,9.17425,0.0775730838199261
LVW,POTR,0,1,1096.46,850.81,1083.15,1.707875,0.735,49.205,18.76,40.774,28.432,8.30925,0.0170562793910823
SMR,POTR,0,1,240.31,236.14,1860.46,14.64165417,0.735,49.205,18.76,40.774,28.432,8.87125,0.0227358014300498
CWT,PSME,0,1,1905.66,1173.16,1352.79,13.34375,0.82,48.7525,27.35111111,37.27,22.01777778,8.478,NA
NIN,PSME,0,1,1491.22,1206.53,1456.16,18.203875,0.82,48.7525,27.35111111,37.27,22.01777778,8.44775,0.020139099615756
VCR,PSME,0,1,1138.09,993.17,1215.28,15.028375,0.82,48.7525,27.35111111,37.27,22.01777778,8.45733333333333,0.0102143689640298
AND,QUPR,0,1,2309.5,763.6333333,982.3666667,9.1659375,1.026666667,51.47833333,23.51,39.38125,27.22,9.00875,0.0494595794563602
ARC,QUPR,0,1,326.66,284.43,422.74,-8.872666667,1.026666667,51.47833333,23.51,39.38125,27.22,8.994,0.10138375938318
BCI,QUPR,0,1,2692.38,1367.63,1517.06,27.16933333,1.026666667,51.47833333,23.51,39.38125,27.22,8.72725,0.0265502667908752
BNZ,QUPR,0,1,402.87,359.8,575.89,-1.760208333,1.026666667,51.47833333,23.51,39.38125,27.22,8.874,0.0236784008469041
BSF,QUPR,0,1,1244.55,752.61,1096.91,11.29540417,1.026666667,51.47833333,23.51,39.38125,27.22,8.80925,0.0199728983041187
CDR,QUPR,0,1,822.7777778,733.2,1026.133333,7.056204167,1.026666667,51.47833333,23.51,39.38125,27.22,8.8975,0.0588699130852654
CPR,QUPR,0,1,440.4,430.42,1201.73,8.598458333,1.026666667,51.47833333,23.51,39.38125,27.22,8.99825,0.0583687987427074
CWT,QUPR,0,1,1905.66,1173.16,1352.79,13.34375,1.026666667,51.47833333,23.51,39.38125,27.22,8.918,0.0343025752191679
GSF,QUPR,0,1,508.41,502.5,1421.8,26.38333333,1.026666667,51.47833333,23.51,39.38125,27.22,8.718,0.0191311264697089
HBR,QUPR,0,1,1396.13,712.53,817.54,5.548666667,1.026666667,51.47833333,23.51,39.38125,27.22,8.8545,0.0380919939094818
HFR,QUPR,0,1,1152.13,851.25,1041.04,7.489633333,1.026666667,51.47833333,23.51,39.38125,27.22,8.85375,0.0384826800868479
JRN,QUPR,0,1,298.1111111,292.2666667,1665.977778,17.14754167,1.026666667,51.47833333,23.51,39.38125,27.22,8.9805,0.0270493376382242
JUN,QUPR,0,1,2877.81,494.81,543.94,4.277983333,1.026666667,51.47833333,23.51,39.38125,27.22,4.62125,0.0807521929526787
KBS,QUPR,0,1,811.15,707.59,1007.43,8.838666667,1.026666667,51.47833333,23.51,39.38125,27.22,9.01875,0.0191027921170348
KNZ,QUPR,0,1,791.21,746.72,1250.01,12.57004167,1.026666667,51.47833333,23.51,39.38125,27.22,8.94,0.0399749921826134
LBS,QUPR,0,1,4099.52,1699.15,1772.69,26.18779167,1.026666667,51.47833333,23.51,39.38125,27.22,8.91075,0.0426956281914983
LUQ,QUPR,0,1,3362.82,1233.94,1259.58,23.47708333,1.026666667,51.47833333,23.51,39.38125,27.22,8.915,0.136628449941194
LVW,QUPR,0,1,1096.46,850.81,1083.15,1.707875,1.026666667,51.47833333,23.51,39.38125,27.22,4.4495,0.00998331942124811
MTV,QUPR,0,1,2685,1084.06,1165.5,17.67916667,1.026666667,51.47833333,23.51,39.38125,27.22,8.73525,0.0438282633316294
NIN,QUPR,0,1,1491.22,1206.53,1456.16,18.203875,1.026666667,51.47833333,23.51,39.38125,27.22,9.03775,0.144859414606024
NLK,QUPR,0,1,676.63,649.13,884.36,4.137,1.026666667,51.47833333,23.51,39.38125,27.22,8.952,0.0569209978830313
NWT,QUPR,0,1,1249.7,646.57,755.51,-3.2115,1.026666667,51.47833333,23.51,39.38125,27.22,8.928,0.054301626740519
OLY,QUPR,0,1,1530.9,794.19,1043.78,10.7329625,1.026666667,51.47833333,23.51,39.38125,27.22,8.90625,0.0433849052090701
SEV,QUPR,0,1,254.5,252.22,1601.93,13.17375,1.026666667,51.47833333,23.51,39.38125,27.22,8.99725,0.00917877987534305
SMR,QUPR,0,1,240.31,236.14,1860.46,14.64165417,1.026666667,51.47833333,23.51,39.38125,27.22,8.9325,0.0307950212426189
UFL,QUPR,0,1,1238.47,1165.79,1620.79,20.721375,1.026666667,51.47833333,23.51,39.38125,27.22,8.94675,0.0148183444869304
VCR,QUPR,0,1,1138.09,993.17,1215.28,15.028375,1.026666667,51.47833333,23.51,39.38125,27.22,8.91475,0.0232719430502341
AND,RHMA,0,1,2309.5,763.6333333,982.3666667,9.1659375,0.4175,50.7975,16.952,36.902,36.274,7.0935,0.0121792172709634
ARC,RHMA,0,1,326.66,284.43,422.74,-8.872666667,0.4175,50.7975,16.952,36.902,36.274,7.1145,0.0147082743152734
CPR,RHMA,0,1,440.4,430.42,1201.73,8.598458333,0.4175,50.7975,16.952,36.902,36.274,7.133,0.0236220236220355
JRN,RHMA,0,1,298.1111111,292.2666667,1665.977778,17.14754167,0.4175,50.7975,16.952,36.902,36.274,7.10325,0.0260816027114899
JUN,RHMA,0,1,2877.81,494.81,543.94,4.277983333,0.4175,50.7975,16.952,36.902,36.274,8.033,1.22264658289575
KBS,RHMA,0,1,811.15,707.59,1007.43,8.838666667,0.4175,50.7975,16.952,36.902,36.274,7.13825,0.0200229035523487
LUQ,RHMA,0,1,3362.82,1233.94,1259.58,23.47708333,0.4175,50.7975,16.952,36.902,36.274,7.1145,0.0376076233406653
MTV,RHMA,0,1,2685,1084.06,1165.5,17.67916667,0.4175,50.7975,16.952,36.902,36.274,9.1015,0.284456792266711
NIN,RHMA,0,1,1491.22,1206.53,1456.16,18.203875,0.4175,50.7975,16.952,36.902,36.274,7.094,0.0101324561023802
NLK,RHMA,0,1,676.63,649.13,884.36,4.137,0.4175,50.7975,16.952,36.902,36.274,8.9245,0.063248188379853
KBS,SPAL,0,1,811.15,707.59,1007.43,8.838666667,0.71125,42.72375,7.124,58.773,26.747,8.1205,0.0121243556529821
LBS,SPAL,0,1,4099.52,1699.15,1772.69,26.18779167,0.71125,42.72375,7.124,58.773,26.747,8.24075,0.0167605688049859
VCR,SPAL,0,1,1138.09,993.17,1215.28,15.028375,0.71125,42.72375,7.124,58.773,26.747,8.263,NA
AND,THPL,0,1,2309.5,763.6333333,982.3666667,9.1659375,0.6225,51.1275,26.67142857,35.92,22.30857143,8.8085,0.0737134090018003
ARC,THPL,0,1,326.66,284.43,422.74,-8.872666667,0.6225,51.1275,26.67142857,35.92,22.30857143,8.7315,0.0163808831670743
BCI,THPL,0,1,2692.38,1367.63,1517.06,27.16933333,0.6225,51.1275,26.67142857,35.92,22.30857143,8.69875,0.0162967276878928
BNZ,THPL,0,1,402.87,359.8,575.89,-1.760208333,0.6225,51.1275,26.67142857,35.92,22.30857143,8.77475,0.040011456692636
BSF,THPL,0,1,1244.55,752.61,1096.91,11.29540417,0.6225,51.1275,26.67142857,35.92,22.30857143,8.69725,0.0171537167984083
CDR,THPL,0,1,822.7777778,733.2,1026.133333,7.056204167,0.6225,51.1275,26.67142857,35.92,22.30857143,8.78525,0.0536120322315804
CPR,THPL,0,1,440.4,430.42,1201.73,8.598458333,0.6225,51.1275,26.67142857,35.92,22.30857143,8.69675,0.0271462090662148
CWT,THPL,0,1,1905.66,1173.16,1352.79,13.34375,0.6225,51.1275,26.67142857,35.92,22.30857143,8.76675,0.0502220071283497
GSF,THPL,0,1,508.41,502.5,1421.8,26.38333333,0.6225,51.1275,26.67142857,35.92,22.30857143,8.6985,0.00854400374531737
HBR,THPL,0,1,1396.13,712.53,817.54,5.548666667,0.6225,51.1275,26.67142857,35.92,22.30857143,8.7475,0.048432083030432
HFR,THPL,0,1,1152.13,851.25,1041.04,7.489633333,0.6225,51.1275,26.67142857,35.92,22.30857143,8.74125,0.0603013266852396
JRN,THPL,0,1,298.1111111,292.2666667,1665.977778,17.14754167,0.6225,51.1275,26.67142857,35.92,22.30857143,8.772,0.0271170303192171
JUN,THPL,0,1,2877.81,494.81,543.94,4.277983333,0.6225,51.1275,26.67142857,35.92,22.30857143,8.543,0.00905538513813789
KBS,THPL,0,1,811.15,707.59,1007.43,8.838666667,0.6225,51.1275,26.67142857,35.92,22.30857143,8.83275,0.0541625639471887
KNZ,THPL,0,1,791.21,746.72,1250.01,12.57004167,0.6225,51.1275,26.67142857,35.92,22.30857143,8.75525,0.0373396572024973
LBS,THPL,0,1,4099.52,1699.15,1772.69,26.18779167,0.6225,51.1275,26.67142857,35.92,22.30857143,8.793,0.0466547603859104
LUQ,THPL,0,1,3362.82,1233.94,1259.58,23.47708333,0.6225,51.1275,26.67142857,35.92,22.30857143,8.75825,0.0238659450542681
LVW,THPL,0,1,1096.46,850.81,1083.15,1.707875,0.6225,51.1275,26.67142857,35.92,22.30857143,8.5355,0.0131782649338471
MTV,THPL,0,1,2685,1084.06,1165.5,17.67916667,0.6225,51.1275,26.67142857,35.92,22.30857143,8.7275,0.0147986485869491
NIN,THPL,0,1,1491.22,1206.53,1456.16,18.203875,0.6225,51.1275,26.67142857,35.92,22.30857143,8.74525,0.0581685768549769
NLK,THPL,0,1,676.63,649.13,884.36,4.137,0.6225,51.1275,26.67142857,35.92,22.30857143,8.792,0.03250640962436
NWT,THPL,0,1,1249.7,646.57,755.51,-3.2115,0.6225,51.1275,26.67142857,35.92,22.30857143,8.7595,0.0272946881279119
OLY,THPL,0,1,1530.9,794.19,1043.78,10.7329625,0.6225,51.1275,26.67142857,35.92,22.30857143,8.78525,0.0828306505266418
SEV,THPL,0,1,254.5,252.22,1601.93,13.17375,0.6225,51.1275,26.67142857,35.92,22.30857143,8.766,0.0366060104354458
SMR,THPL,0,1,240.31,236.14,1860.46,14.64165417,0.6225,51.1275,26.67142857,35.92,22.30857143,8.7885,0.0273313007374331
UFL,THPL,0,1,1238.47,1165.79,1620.79,20.721375,0.6225,51.1275,26.67142857,35.92,22.30857143,8.81675,0.045154364868379
VCR,THPL,0,1,1138.09,993.17,1215.28,15.028375,0.6225,51.1275,26.67142857,35.92,22.30857143,8.83225,0.0370258918416113
AND,TRAE,0,1,2309.5,763.6333333,982.3666667,9.1659375,0.3775,47.3225,16.208,73.152,6.722,9.272,0.00828653526310402
ARC,TRAE,0,1,326.66,284.43,422.74,-8.872666667,0.3775,47.3225,16.208,73.152,6.722,9.26125,0.00629152869605853
BCI,TRAE,0,1,2692.38,1367.63,1517.06,27.16933333,0.3775,47.3225,16.208,73.152,6.722,9.319,0.0196977156035927
BNZ,TRAE,0,1,402.87,359.8,575.89,-1.760208333,0.3775,47.3225,16.208,73.152,6.722,9.439,0.0264070697604512
BSF,TRAE,0,1,1244.55,752.61,1096.91,11.29540417,0.3775,47.3225,16.208,73.152,6.722,9.3155,0.0266520793435208
CDR,TRAE,0,1,822.7777778,733.2,1026.133333,7.056204167,0.3775,47.3225,16.208,73.152,6.722,9.431,0.0335857112474932
CPR,TRAE,0,1,440.4,430.42,1201.73,8.598458333,0.3775,47.3225,16.208,73.152,6.722,9.3585,0.0359397644214131
CWT,TRAE,0,1,1905.66,1173.16,1352.79,13.34375,0.3775,47.3225,16.208,73.152,6.722,9.33425,0.0576389625166865
GSF,TRAE,0,1,508.41,502.5,1421.8,26.38333333,0.3775,47.3225,16.208,73.152,6.722,9.30275,0.0124733048280455
HBR,TRAE,0,1,1396.13,712.53,817.54,5.548666667,0.3775,47.3225,16.208,73.152,6.722,9.22775,0.0551807635563942
HFR,TRAE,0,1,1152.13,851.25,1041.04,7.489633333,0.3775,47.3225,16.208,73.152,6.722,9.18975,0.0514546726093301
JRN,TRAE,0,1,298.1111111,292.2666667,1665.977778,17.14754167,0.3775,47.3225,16.208,73.152,6.722,9.36075,0.0335298374585978
JUN,TRAE,0,1,2877.81,494.81,543.94,4.277983333,0.3775,47.3225,16.208,73.152,6.722,9.047,0.0247790233867281
KBS,TRAE,0,1,811.15,707.59,1007.43,8.838666667,0.3775,47.3225,16.208,73.152,6.722,9.37025,0.0434156269869117
KNZ,TRAE,0,1,791.21,746.72,1250.01,12.57004167,0.3775,47.3225,16.208,73.152,6.722,9.298,0.0312836485510668
LBS,TRAE,0,1,4099.52,1699.15,1772.69,26.18779167,0.3775,47.3225,16.208,73.152,6.722,9.404,0.0815679675689749
LUQ,TRAE,0,1,3362.82,1233.94,1259.58,23.47708333,0.3775,47.3225,16.208,73.152,6.722,9.3125,0.0305232152085369
LVW,TRAE,0,1,1096.46,850.81,1083.15,1.707875,0.3775,47.3225,16.208,73.152,6.722,9.066,0.0280475786239503
MTV,TRAE,0,1,2685,1084.06,1165.5,17.67916667,0.3775,47.3225,16.208,73.152,6.722,9.30675,0.0221716786313833
NIN,TRAE,0,1,1491.22,1206.53,1456.16,18.203875,0.3775,47.3225,16.208,73.152,6.722,9.36,0.0394546152771343
NLK,TRAE,0,1,676.63,649.13,884.36,4.137,0.3775,47.3225,16.208,73.152,6.722,9.355,0.0227303028283099
NWT,TRAE,0,1,1249.7,646.57,755.51,-3.2115,0.3775,47.3225,16.208,73.152,6.722,9.41325,0.162672216435383
OLY,TRAE,0,1,1530.9,794.19,1043.78,10.7329625,0.3775,47.3225,16.208,73.152,6.722,9.2305,0.109378547561515
SEV,TRAE,0,1,254.5,252.22,1601.93,13.17375,0.3775,47.3225,16.208,73.152,6.722,9.36275,0.0257471681290714
SMR,TRAE,0,1,240.31,236.14,1860.46,14.64165417,0.3775,47.3225,16.208,73.152,6.722,9.46975,0.0607693727684153
UFL,TRAE,0,1,1238.47,1165.79,1620.79,20.721375,0.3775,47.3225,16.208,73.152,6.722,9.43025,0.0579734134467402
VCR,TRAE,0,1,1138.09,993.17,1215.28,15.028375,0.3775,47.3225,16.208,73.152,6.722,9.41725,0.0348938867616284
GSF,ABLA,3,1,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96,6.08,0.476918231985316
GSF,ABLA,10,1,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96,4.643,0.448305699272271
GSF,ABLA,4,1,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96,6.077,NA
MTV,ABLA,9,1,2685,1084.06,1165.5,17.67916667,0.71,53.965,17.95666667,30.64666667,31.96,1.69025,1.12885764529162
AND,ACSA,1,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,6.4375,0.172614213397005
