STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,NIR_NUM,MESH,DATEOUT,IADW,IODW,DATEIN,FWW,FOW,LENGTH,IADW1,IODW1,IASH,FASH,IAFW,FAFW,PRM,PAFRM,KDW,KAFW,TYPE1,TIMEOUT,COMMENT,FLAG
TD023,9,"LIDET_AND",1,2,"PIRE",L,2276,1.0,1990-10-19,10.034,9.753,1992-10-16,13.585,6.746,,,,1.700,4.070,9.587,6.471,69.168,67.498,-0.185,-0.197,L,1.99,,
TD023,9,"LIDET_AND",1,2,"QUPR",L,4154,1.0,1990-10-19,10.026,9.404,1992-10-16,5.686,4.053,,,,4.390,6.040,8.991,3.808,43.099,42.353,-0.422,-0.431,L,1.99,,
TD023,9,"LIDET_AND",1,2,"RHMA",L,6644,7.0,1990-10-19,10.110,9.362,1992-10-16,8.846,6.316,,,,4.640,9.460,8.928,5.719,67.464,64.057,-0.197,-0.223,L,1.99,,
TD023,9,"LIDET_AND",1,2,"RHMA",L,6860,1.0,1990-10-19,8.069,7.488,1992-10-16,6.379,4.861,,,,4.640,4.990,7.141,4.618,64.917,64.669,-0.217,-0.219,L,1.99,,
TD023,9,"LIDET_AND",1,2,"THPL",L,797,1.0,1990-10-19,10.066,9.543,1992-10-16,15.680,6.605,,,,7.790,7.930,8.800,6.081,69.213,69.102,-0.185,-0.185,L,1.99,,
TD023,9,"LIDET_AND",1,2,"TRAE",L,2905,1.0,1990-10-19,10.057,9.584,1992-10-16,9.116,6.950,,,,2.820,3.890,9.314,6.680,72.517,71.720,-0.161,-0.167,L,1.99,,
TD023,9,"LIDET_AND",1,2,"TRAE",L,6780,7.0,1990-10-19,10.006,9.556,1992-10-16,7.687,5.464,,,,2.820,5.330,9.287,5.173,57.179,55.702,-0.280,-0.294,L,1.99,,
TD023,9,"LIDET_AND",1,3,"ACSA",L,3952,1.0,1990-10-19,10.000,9.490,1993-10-21,14.802,3.919,,,,4.710,11.740,9.043,3.459,41.296,38.251,-0.294,-0.320,L,3.01,,
TD023,9,"LIDET_AND",1,3,"ANGE",R,46492,0.1,1990-10-19,7.046,6.729,1993-10-21,6.965,4.234,,,,24.700,39.170,5.067,2.576,62.922,50.839,-0.154,-0.225,R,3.01,,
TD023,9,"LIDET_AND",1,3,"DRGL",L,4992,1.0,1990-10-19,10.014,9.684,1993-10-21,9.159,2.560,,,,7.800,10.730,8.929,2.285,26.435,25.591,-0.443,-0.453,L,3.01,,
TD023,9,"LIDET_AND",1,3,"DRGL",R,46895,0.1,1990-10-19,7.008,6.749,1993-10-21,5.822,2.629,,,,6.950,20.450,6.280,2.091,38.954,33.296,-0.314,-0.366,R,3.01,,
TD023,9,"LIDET_AND",1,3,"GOBA",A,68796,,1990-10-19,59.224,54.664,1993-10-21,29.059,22.495,29.30,28.447,26.257,1.470,0.530,25.871,22.376,85.672,86.491,-0.051,-0.048,W,3.01,,
TD023,9,"LIDET_AND",1,3,"GOBA",B,68796,,1990-10-19,59.224,54.664,1993-10-21,34.809,23.678,31.40,30.486,28.139,1.470,1.860,27.725,23.238,84.147,83.816,-0.057,-0.059,W,3.01,,
