"","study_id","author","url","localDir","year","method","volumne","instrament","primary_citation"
"1","Hungate_2002_incubation","Bruce Hungate","ftp://cdiac.ornl.gov/pub/FACE/kscdata/Hungate/","hungate_incubation",2002,"see primary citation","~120 g","Li-cor infrared gas analyzer (model Li-7000, Lincoln Nebraska)","dx.doi.org/10.1016/j.soilbio.2008.09.016"
"2","Hungate_2007_incubation","Bruce Hungate","ftp://cdiac.ornl.gov/pub/FACE/kscdata/Hungate/","hungate_incubation",2007,"see primary citation","~120 g","Li-cor infrared gas analyzer (model Li-7000, Lincoln Nebraska)","dx.doi.org/10.1016/j.soilbio.2008.09.016"
