location,country,site,lat,long,t,litter.spp,type,MAT,MAP,CDI_LT,CDI_atan,Nt,Mt,Cell,Lig,C,N,CN,LIG_N,Ls
Grensholm,Sweden,GRE,58.55,15.85,1.008219178,SPI,L,6.1,520,0.3127,0.1807,1.214851921,58.002,47.83,21.88,NA,0.3905,NA,56.03072983,0.313871754
Grensholm,Sweden,GRE,58.55,15.85,2.01369863,SPI,L,6.1,520,0.3127,0.1807,1.148791597,40.42083333,47.83,21.88,NA,0.3905,NA,56.03072983,0.313871754
Grensholm,Sweden,GRE,58.55,15.85,2.969863014,SPI,L,6.1,520,0.3127,0.1807,0.823819332,29.8536,47.83,21.88,NA,0.3905,NA,56.03072983,0.313871754
Grensholm,Sweden,GRE,58.55,15.85,4.002739726,SPI,L,6.1,520,0.3127,0.1807,0.77736296,26.93,47.83,21.88,NA,0.3905,NA,56.03072983,0.313871754
Grensholm,Sweden,GRE,58.55,15.85,5.019178082,SPI,L,6.1,520,0.3127,0.1807,NA,24.2515,47.83,21.88,NA,0.3905,NA,56.03072983,0.313871754
Harads,Sweden,HAR,66.13,20.88,0.98630137,SPI,L,0.6,470,0.201,0.1146,0.882939774,88.8528,44.33,25.46,49.44,0.4114,120.1750122,61.8862421,0.364808712
Harads,Sweden,HAR,66.13,20.88,1.216438356,SPI,L,0.6,470,0.201,0.1146,0.763700535,84.3924,44.33,25.46,49.44,0.4114,120.1750122,61.8862421,0.364808712
Harads,Sweden,HAR,66.13,20.88,1.978082192,SPI,L,0.6,470,0.201,0.1146,0.794076565,79.994,44.33,25.46,49.44,0.4114,120.1750122,61.8862421,0.364808712
Harads,Sweden,HAR,66.13,20.88,2.2,SPI,L,0.6,470,0.201,0.1146,0.813608495,75.3492,44.33,25.46,49.44,0.4114,120.1750122,61.8862421,0.364808712
Harads,Sweden,HAR,66.13,20.88,2.994520548,SPI,L,0.6,470,0.201,0.1146,0.985115536,66.4916,44.33,25.46,49.44,0.4114,120.1750122,61.8862421,0.364808712
Harads,Sweden,HAR,66.13,20.88,3.950684932,SPI,L,0.6,470,0.201,0.1146,0.98932812,56.05,44.33,25.46,49.44,0.4114,120.1750122,61.8862421,0.364808712
Harads,Sweden,HAR,66.13,20.88,4.991780822,SPI,L,0.6,470,0.201,0.1146,1.055183701,48.8104,44.33,25.46,49.44,0.4114,120.1750122,61.8862421,0.364808712
Hasslen,Sweden,HAS,60.27,16.25,0.430136986,SBI,L,4.2,425,0.2845,0.165,1.232971986,53.322,43,27.5,42.76,0.7537,56.73344832,36.48666578,0.390070922
Hasslen,Sweden,HAS,60.27,16.25,1.010958904,SBI,L,4.2,425,0.2845,0.165,1.272427712,50.25833333,43,27.5,42.76,0.7537,56.73344832,36.48666578,0.390070922
