LitterSpecies,SiteNo,PlotType,PlotAvgMoisture_gWgS,DeployDate,HarvestDate,Time_days,HarvestNo,LitterInitMass_g,LitterHarvestMass_g,LitterPropInitMass,LitterInitC_g,LitterHarvestC_g,LitterPropInitC,LitterInitN_g,LitterHarvestN_g,LitterPropInitN
HUM,9,dry,0.148019497,11/30/10,10/1/12,671,5,2.872,1.569,0.54624108,1.423885366,0.78566106,0.551772691,0.024951218,0.02828907,1.133775135
HUM,9,dry,0.148019497,11/30/10,9/27/11,301,4,2.936,1.909,0.650200068,1.455443527,0.90402604,0.621134399,0.025504222,0.02890226,1.133234347
HUM,9,dry,0.148019497,11/30/10,8/1/11,244,3,2.919,2.135,0.731435828,1.446965215,1.0171994,0.70298815,0.025355653,0.02589755,1.021371826
HUM,9,dry,0.148019497,11/30/10,4/29/11,150,1,2.879,2.4708,0.858211887,1.427182487,1.1964849,0.838354528,0.025008994,0.027475296,1.098616599
HUM,9,dry,0.148019497,11/30/10,9/20/13,1025,6,2.889,1.398,0.483827237,NA,NA,NA,NA,NA,NA
INT,9,dry,0.148019497,11/30/10,5/26/11,177,2,2.808,2.344,0.83469183,1.302359778,1.000302,0.768068868,0.040522644,0.0329332,0.812711034
INT,9,dry,0.148019497,11/30/10,10/1/12,671,5,2.838,1.53,0.539093673,1.316214669,0.6759846,0.513582333,0.040953736,0.0311661,0.761007492
INT,9,dry,0.148019497,11/30/10,9/27/11,301,4,2.862,2.008,0.701516589,1.327471768,0.87135152,0.656399286,0.041303998,0.03401552,0.823540611
INT,9,dry,0.148019497,11/30/10,8/1/11,244,3,2.824,2.077,0.735457371,1.309720189,0.89292307,0.681766287,0.040751662,0.03439512,0.844017607
INT,9,dry,0.148019497,11/30/10,4/29/11,150,1,2.847,2.4259,0.851960466,1.320544322,1.023050548,0.774718827,0.041088452,0.033914082,0.825392053
INT,9,dry,0.148019497,11/30/10,9/20/13,1025,6,2.861,1.529,0.534347023,NA,NA,NA,NA,NA,NA
LUC,9,dry,0.148019497,11/30/10,9/20/13,1025,6,2.818,1.692,0.600411408,NA,NA,NA,NA,NA,NA
LUC,9,dry,0.148019497,11/30/10,4/29/11,150,1,2.819,2.3327,0.827492946,1.342838542,1.053284031,0.784371313,0.034279002,0.032401203,0.945220149
LUC,9,dry,0.148019497,11/30/10,8/1/11,244,3,2.819,2.075,0.736077448,1.342838542,0.89326675,0.665207858,0.034279002,0.0326605,0.952784459
LUC,9,dry,0.148019497,11/30/10,9/27/11,301,4,2.852,1.89,0.662805194,1.358329428,0.8574741,0.631271091,0.034674442,0.0340578,0.982216249
LUC,9,dry,0.148019497,11/30/10,10/1/12,671,5,2.867,1.12,0.390609758,1.365853573,0.5338032,0.390820224,0.034866512,0.0251328,0.720829191
LUC,9,dry,0.148019497,11/30/10,5/26/11,177,2,2.852,2.3472,0.822872802,1.358772025,1.053822384,0.775569679,0.03468574,0.036076464,1.040094981
PET,9,dry,0.148019497,11/30/10,9/20/13,1025,6,2.887,1.658,0.574307912,NA,NA,NA,NA,NA,NA
PET,9,dry,0.148019497,11/30/10,5/26/11,177,2,2.875,2.1982,0.76468814,1.409338173,1.068127362,0.757892876,0.026657457,0.033610478,1.26082836
PET,9,dry,0.148019497,11/30/10,10/1/12,671,5,2.895,1.614,0.557602925,1.419092986,0.79240944,0.558391485,0.026841968,0.03237684,1.206202158
PET,9,dry,0.148019497,11/30/10,9/27/11,301,4,2.865,1.966,0.68617431,1.404693025,0.80712164,0.574589342,0.026569595,0.03000116,1.129153843
PET,9,dry,0.148019497,11/30/10,8/1/11,244,3,2.877,2.135,0.742213483,1.410267203,0.6365716,0.45138368,0.02667503,0.02307935,0.865204287
PET,9,dry,0.148019497,11/30/10,4/29/11,150,1,2.895,2.1705,0.749616553,1.419557501,1.05898695,0.745997925,0.026850754,0.03051723,1.136550186
